name,latitude,longitude
Ornamental Horticulture Greenhouse,29.639101735366577,-82.35963752501507
Bio-Tech Lab,29.638485273347865,-82.35962165893523
Microcell Parking,29.640005602942942,-82.36246369964438
Weed Sciences Field Building,29.63918412859078,-82.36376689413243
Hull Road,29.637614495837905,-82.3686099753207
Memorial Road,29.640409338402247,-82.3592895176688
Lakeside Commons,29.6418543696752,-82.36620307315849
Hull Road,29.637685206192327,-82.36772751036477
Dauer Hall,29.649943184757568,-82.34509179196509
Chemistry Laboratory,29.650898109703302,-82.34412556917553
Plaza of the Americas,29.650462620578264,-82.34277679528647
Jennings Hall Office,29.64437964768072,-82.3422149180427
Beaty Commons,29.6443754750699,-82.340597407778
Beaty Creekside Apartments,29.644082161451923,-82.34107641812265
Housing Orange Parking,29.644168546067284,-82.3395648314676
Diamond Village Basketball Court,29.643249748448845,-82.34166880143536
Diamond Village Parking,29.64204978984846,-82.34107686534364
Cypress Hall,29.64590926621783,-82.33981185308271
UPD Centrex Building,29.643933028089357,-82.34308584854644
Norman Field,29.645492408603108,-82.33877407373363
Yulee Reid Parking,29.647140784290094,-82.34007667505487
Jennings Creek,29.643647556387673,-82.34170107061594
Jennings Creek,29.645102910843335,-82.34044402266454
Lake Alice Creek,29.64179747147337,-82.34078452239227
Diamond Creek,29.64183818176913,-82.34049104158171
Ocala Pond,29.647666036088015,-82.33968768815363
Norman Garage,29.645503287864393,-82.33749630020682
Rawlings Plaza,29.646271588587677,-82.34320076617695
Tropical Ecology & Conservation lab,29.64568230467809,-82.34321503468614
McKnight Brain Institute,29.641846238345483,-82.34323111473202
Springs Common,29.648707064164764,-82.35712573964636
Graham Area Office,29.64587792716264,-82.35108897247044
Pool Maintenance,29.646148386262837,-82.35197595296373
Graham Pond,29.64528862015505,-82.35101590171678
Hume Creek,29.64455895979671,-82.35088696893771
Hume Creek,29.6445523352802,-82.3507201168987
Hume Creek,29.643834704600312,-82.35133843231839
Keys Complex Parking,29.647350115384864,-82.35428405182819
Keys Complex Parking,29.647995058668876,-82.35491945280046
Keys Complex Parking,29.64813151006737,-82.3540633074023
Graham Woods,29.64721771659479,-82.35230684637868
Hume Parking,29.64416027753121,-82.35104925043935
Hume Basketball Courts,29.64398809844852,-82.35435605595728
Hume Racquetball Courts,29.644033018865063,-82.35474590758535
Pony Field,29.63988787158552,-82.35093823916037
Pony Field Parking,29.639154266257012,-82.3512752111635
Lake Alice Conservation Area,29.64195246897911,-82.35709148062386
Springs Complex Parking,29.648704041818238,-82.35661729862937
Springs Complex Parking,29.64854728300555,-82.35760922718681
University Womens Club,29.649243617783263,-82.35613724341702
Basketball Practice Complex,29.64961490053732,-82.35619925666373
Ring Varsity Tennis Building,29.649690714408862,-82.35771181983505
Corry Village Commons,29.646393139364008,-82.36091140990166
Corry Village Parking,29.646518403036335,-82.36050101703853
Harmonic Woods,29.646057118670676,-82.35883929498867
Baby Gator,29.645374444574866,-82.36051897036847
Lakeside Complex Parking,29.641826512603746,-82.36668469537254
Lakeside Complex Parking,29.641180087185504,-82.36506752765276
Softball Field House,29.638862831767792,-82.3653339874384
Softball Batting Cage,29.63906267515221,-82.36530964322638
Southwest Rec Center Parking,29.637899900984134,-82.36734034993059
North Lacrosse Parking,29.637461133847353,-82.3665010102234
Rob Gidel Family Practice Field,29.636726200010525,-82.36558269443911
Donald R. Dizney Field,29.63672229999984,-82.366330544523
Lacrosse & Soccer Support Facility,29.6360450837839,-82.36593254336887
Soccer Practice FIeld,29.63677659225771,-82.36738233125823
West Chilled Water Plant,29.639499000000004,-82.3659958
Maguire Field,29.641549973441645,-82.36868732538838
Thomas Hall,29.651199451454094,-82.34600230031863
Sledd Hall,29.6507652791721,-82.34553678714464
Fletcher Hall,29.651371122507314,-82.34531032471821
Buckman Hall,29.65088500210359,-82.34500278055816
Murphree Area Commons Building,29.651429719889624,-82.34570702386534
Murphree Blue Parking,29.651846854185994,-82.34551518288204
Murphree Red 1 Parking,29.651855282943462,-82.3467614393642
Murphree Orange Parking Lot,29.651252395729614,-82.34727882372557
Reitz Union North Lawn,29.647229142067477,-82.34624549213682
McCarty Woods,29.64535354632754,-82.34460135115165
McCarty Hall Parking,29.645950299630172,-82.3441056127999
Food Science & Human Nutrition,29.646910405878845,-82.34439292387204
Aquatic Food Pilot Plant,29.647354448145588,-82.3440297719596
Dairy Pond,29.647367160864334,-82.34456539504154
Gator Pond,29.648236291948624,-82.34129946883792
Bartram-Carr Woods,29.64294175520874,-82.34518098733568
Housing Specialty Shop,29.63242187661508,-82.36635090630415
Housing Furniture Shop,29.631847132061544,-82.36642691614833
Surge Area Drive,29.630948737625086,-82.36635110434327
Housing Supply Warehouse,29.63128951201224,-82.36629762438076
Surge Area Parking,29.632217729664994,-82.36652908554422
University Village South Commons,29.638740538916792,-82.37100127774131
Maguire Village Basketball Court,29.639789875071536,-82.37166711788186
Maguire Village Pool,29.640729849999996,-82.37084159999999
Maguire Commons,29.641146785864,-82.37080293571175
Blue Circle,29.639876954950278,-82.37176177551314
Citrus Road,29.63581689313682,-82.36356768055087
IFAS Environmental Stress Lab,29.635451392394142,-82.36465666126246
IFAS Fruit Packing Facility,29.635659600281883,-82.36461907323488
Fruit Crops Pole Barn,29.63564695292268,-82.36394870580892
IFAS Equipment Storage,29.63559488517414,-82.36424101496523
Orange Drive,29.642163600902155,-82.37049525640741
Mark Bostick Golf Course,29.647541066245505,-82.36818749196522
Kermit Sigmon Trail,29.63852864937629,-82.34461191910064
Kermit Sigmon Trail,29.636317749210942,-82.35085176482542
Kermit Sigmon Trail,29.63573758688994,-82.3525211025449
Hume Creek,29.64420615,-82.35085955
Reitz Union Drive,29.645820974915186,-82.34853732043884
Reitz Union Drive,29.645838975856794,-82.348629002767
Center Drive,29.64011583668509,-82.34612767210629
The Hub,29.648534650000002,-82.3455353
Union Road,29.650293310459798,-82.33984159914836
Union Road,29.650196578743365,-82.3397957543189
Florida Museum of Natural History,29.635918273325842,-82.3703670572225
Parking Garage 11,29.636308474009024,-82.36844060778968
Phillips Center for the Performing Arts,29.635281556342246,-82.36929771524106
Stadium Road,29.648312984248644,-82.35304548687614
Museum Drive,29.641146851922187,-82.36418315001767
Museum Road,29.644918343512767,-82.36047734550581
Newell Drive,29.641330802715633,-82.34334650586892
Mail & Document Services Parking,29.64250692189822,-82.36707149726695
Elmore Hall Parking,29.64282363669746,-82.3662120299794
Facilities Services Parking Lot,29.643133437752425,-82.37076019460665
Hull Road,29.637604691056314,-82.36949850004447
Hull Road,29.637620849999998,-82.3708474
Hull Road,29.637708111865916,-82.36885440004913
Hull Road,29.637612654910626,-82.3717687963711
Hull Road,29.63770447646518,-82.3721171502925
Hull Road,29.63770843017215,-82.37054849801758
Hull Road,29.637612689334983,-82.37014442100815
Museum Road,29.64487012577977,-82.33955805870123
Museum Road,29.644826600000002,-82.33986705000001
Museum Road,29.64477127290189,-82.34080327493464
Radio Road,29.642226209881567,-82.37217979984116
Shealy Drive,29.634350292921223,-82.35120951294748
Shealy Drive,29.63471136962506,-82.35128374622023
Shealy Drive,29.635152103916447,-82.35131120352246
Shealy Drive,29.63584326128146,-82.35141766563291
Southwest 23rd Drive,29.634166406050127,-82.35885698164788
Southwest 23rd Street,29.62943859890667,-82.35585952134446
Southwest 23rd Street,29.627869988885617,-82.3558556615438
Varsity Tennis Building,29.650068297103612,-82.35773875547196
Guy Bostick Golf Clubhouse,29.64991822236996,-82.36494634948596
UF Physical Security Department,29.642657173896453,-82.37008520000664
University of Florida Mail & Documents Services,29.642838683966776,-82.36704250273888
Facilities Services Human Resources,29.643636299132215,-82.37020632413879
Golf Practice Facility,29.647452856976425,-82.3688098396068
Magnolia Drive,29.64296569079732,-82.368406375001
Museum Road,29.64482722694618,-82.34302869986554
Museum Road,29.644839905758676,-82.34630839998137
Newell Drive,29.646020596383853,-82.34351566450988
Union Road,29.649761974877055,-82.34412370154362
Gale Lemerand Drive,29.648309350170308,-82.34973512568428
Woodlawn Drive,29.6494481517247,-82.35571066196042
Stadium Road,29.6486213556791,-82.34510837871828
Buckman Drive,29.650896399922907,-82.34474166590199
Museum Road,29.644941894361658,-82.35841784452597
Stadium Road,29.64861705,-82.34564615
Stadium Road,29.648641243720395,-82.34831210003993
Newell Drive,29.648060322829664,-82.3435096808746
Bledsoe Drive,29.637654949999998,-82.36929935
Hull Road,29.637620953907483,-82.36748233405133
Hull Road,29.63768388641544,-82.36523818425603
Museum Road,29.64386866985434,-82.36249691340514
Newell Drive,29.64702585005966,-82.34351541437617
Radio Road,29.64223975811669,-82.37062776630893
Bledsoe Drive,29.641609100023274,-82.36930179072338
Fraternity Drive,29.646282877718946,-82.35777952863002
Museum Road,29.6449517,-82.35983955
Village Drive,29.646332646734013,-82.36004299233032
Center Drive,29.638912133194736,-82.34616149396685
Gale Lemerand Drive,29.641752724276415,-82.35045099859927
Shands Cair Heliport,29.635518149999996,-82.3505796
Shealy Drive,29.631176798467994,-82.35077122159879
Hogtown Creek Woods,29.64348773295625,-82.37906714928161
Shealy Drive,29.635381950000003,-82.3513269
Archer Woods,29.62988318940999,-82.36878258600478
UF Emerging Pathogens Institute,29.637254367268312,-82.35197781443804
UF Cancer & Genetics Research Complex,29.638016427762327,-82.3515897740249
Health Science Center Modular Building,29.637516142671448,-82.35392593450781
UF Aquatic Pathobiology Lab,29.63726120616925,-82.35298525233078
UF Center for Environmental & Human Toxicology,29.636773085576614,-82.35307425042153
Animal Sciences Beef Teaching Unit,29.62115181851964,-82.35340817991992
Bat House Parking,29.643466090082047,-82.36401439143404
Network Services Field Station,29.644029700003493,-82.36406539994626
Bat House,29.64422755,-82.36290765000001
The Courtyard,29.64384775,-82.34973479999998
University of Florida Substation,29.640827611877835,-82.34867866933973
Phelps Lab,29.64455614736727,-82.34884319103388
UF Clinical & Translational Research Building,29.639855893329823,-82.34973331435546
Sabal Palm Drive,29.63905353053597,-82.35642455549068
Baughman Center,29.64223121965587,-82.36356341874517
Cultural Plaza,29.637508599999997,-82.36853185000001
Newell Drive,29.640553951528325,-82.3422909772993
Cancer Research Parking,29.638040156435206,-82.34845884515447
Wilmot Gardens,29.639033025894218,-82.34931883146346
Working/Healing Gardens,29.63892374121924,-82.34987225103902
Baughman Center Administration,29.64201552284666,-82.36361841243114
Hume Hall,29.644974875115107,-82.3521656558575
University Gardens Parking,29.644800398255875,-82.35754368228898
Digital Design Wetlands,29.641927690950354,-82.34903831868864
Fraternity Wetland,29.646785141054337,-82.3560617354972
Fraternity Row,29.648219960983116,-82.3576410088733
Hume Creek,29.6448751,-82.35093094999999
Hume Creek,29.6450243,-82.3509481
Jennings Creek,29.642243145262803,-82.34247694169306
Jennings Creek,29.644822550000004,-82.34084355
Museum Road,29.64487628788792,-82.34950200213554
Swiming & Diving Complex,29.64859694913924,-82.35155540123213
Infirmary Parking,29.64889024102904,-82.34641662637796
Rhines Hall Parking,29.64740394797384,-82.3486916908464
Tigert Hall Parking,29.649376571002808,-82.34069783345673
Weil Hall,29.648348725898398,-82.34844449257012
Reed Laboratory,29.647947943029454,-82.34811062877759
Nuclear Training Reactor,29.6476356044728,-82.34809059057083
Museum Road,29.644821749999995,-82.34197879999999
Museum Road,29.644787152116482,-82.3400689999855
Museum Road,29.64484394136529,-82.34054510747582
University of Florida Medical Plaza,29.63783575651358,-82.34898470876922
University Gardens,29.644271097449703,-82.35826047364529
Law School Woods Conservation Area,29.649342368335414,-82.36089576992593
Jimmy John's,29.635254917438353,-82.35555787028537
Mobile Locksmith,29.63529606616541,-82.35538729843347
Track Parking Lot,29.649448510216985,-82.35543122281886
L. Gale Lemerand Athletic Center,29.648773710580347,-82.35383397938669
O'Connell Center Storage,29.64993463212928,-82.35220417561167
Ring Tennis Complex,29.649807830582482,-82.3571172640431
ΒΘΠ,29.648147662333557,-82.3563783019445
ΠΚΦ,29.64783399165981,-82.35714051677319
ΤΕΦ,29.647094440153918,-82.35722158936012
ΔΧ,29.64606758752139,-82.35690362262886
ΛΧΑ,29.645420132360066,-82.35577419900312
ΔΣΦ,29.64524374317239,-82.35447023702199
Flavet Courts,29.646285714633642,-82.35267383409533
Ficke Gardens,29.641097272136644,-82.36350534444128
SEEP Nature Trail,29.635074830399994,-82.36790709976472
Stormwater Enhancement Ecological Project,29.63473345065002,-82.3678711615102
Natural Area Teaching Pavilion,29.633497190936097,-82.36744262415563
Old Field Nature Trail,29.634326592458105,-82.36874537950766
Inner Road,29.64744262652217,-82.34293554699222
Museum Road,29.644815852855828,-82.34128129993881
Museum Road,29.64476056156389,-82.34032561589103
College of Veterinary Medicine,29.63371532353603,-82.34880228477891
Straughn IFAS Extension Professional Development Center,29.63253581496,-82.35127192811044
Ustler Hall Courtyard,29.650401600551405,-82.34650366997639
Presidents Park,29.6514887705191,-82.3543780578418
Field & Fork Farm and Gardens,29.64429109007285,-82.36313707028626
Old Field Nature Trail,29.63407608459034,-82.3699352153916
UF Substation #7,29.649201668197307,-82.34116150650246
Gator Walk,29.65194105246117,-82.34861398932311
Scott Family Hall,29.651419862422802,-82.34442589351936
UF Substation #3,29.648770925033574,-82.34250964189813
Fine Arts C Parking,29.647520353331068,-82.34052217506206
Cypress Parking,29.645667769943156,-82.33964974100172
Heavener Hall,29.651583012279975,-82.33991494374439
Smathers Fire Pump Building,29.65083319295323,-82.34149117551534
Criser CIB,29.6509639,-82.3414984
Smathers Emergency Generator,29.650891299999998,-82.34148905
Smathers Walkway,29.651023092876905,-82.34325964998136
Substation #1,29.648104485701563,-82.34905000196565
Generator 0695,29.64749783238636,-82.34830719883996
Engineering Clock Tower,29.648406457364718,-82.34928362493709
Substation #9,29.648192286714636,-82.34861764355804
Weil Chilled Water Plant,29.64814684594335,-82.34850626600253
Newins-Ziegler Sink,29.64522001575829,-82.34663219541625
Bus Shelter McCarty Drive North,29.645294628567342,-82.34699662750594
Bus Shelter McCarty Drive South,29.64539788361958,-82.34696026419103
Frazier-Rogers Parking,29.6443327152888,-82.3460905517053
Live Oak Park,29.642175490349196,-82.34402059240838
Harrell Medical Education Building,29.64200274623256,-82.34447204112584
Shands Facilities Administration,29.641311531775017,-82.34128789049643
Shands Facilities Administration,29.641474111066028,-82.34083832375389
Sun Shelter,29.640891249999996,-82.34321039999999
University of Florida Cogeneration Plant,29.640469567696076,-82.3485845229608
Lacy Rabon Chilled Water Plant,29.640301914006873,-82.34760153581098
Sanitary Lift Station L1,29.64098398105637,-82.34701897502747
SE Chilled Water Plant,29.640883407680555,-82.34663767593828
Shands Linen Utility,29.639372776587223,-82.34575635441172
Shands Biohazard Waste Storage,29.63932646867721,-82.34584825387523
Chemical Engineering Digester,29.64246345557806,-82.34856870995777
Chemical Engineering Solvent Storage,29.642628137585625,-82.34856553935475
Fiber Hut Aero,29.64295245,-82.34864085
Astronomy Teaching Observatory,29.643003963459872,-82.34904731543881
ROTC Rifle Range,29.643886599999995,-82.34893184999999
West O'Connell Center Parking Lot,29.649271003598624,-82.35208608336373
UF Substation #12,29.645924884278063,-82.34531351559227
Vending Machines Shelter,29.646269031978598,-82.34493024564188
Teaching Support,29.64628812504789,-82.3456589445221
"Field Lab Forestry",29.64595742243387,-82.3460579994943
West Law Circle Parking,29.648925949270915,-82.35985012622923
Law School Green Parking,29.648442128282696,-82.35878221723578
ΠΒΦ,29.64730516888287,-82.35950883898792
Fifield Hall Parking,29.638557778662545,-82.36197290323331
Fifield Hall Parking,29.638652406916176,-82.36024081489346
Archer Field Parking,29.636453132145643,-82.35382364876347
Oxford Manor Apartments,29.627619052079883,-82.36366328560139
Select Specialty Hospital- Gainesville,29.632406815086398,-82.36399743562333
University of Florida Health Shands Hospital,29.64062074153181,-82.343764610342
Malcom Randall Veterans Administration Medical Center,29.63650527332085,-82.34624696411211
Brain Institute Bridge,29.641451638904506,-82.34340820038804
Towne Parc Apartments,29.624725601897143,-82.35979911845449
University Club Apartments,29.625669273179646,-82.35761888778971
Hidden Village Apartments,29.625186426890217,-82.36338826690006
University Commons,29.629895370636895,-82.36263151278246
Bob Brockman Gateway,29.651804096148236,-82.33960272190184
Law School Park,29.64990349658369,-82.36008548687897
Marston Courtyard,29.647862176273186,-82.34445204240016
Todd C. Prosser Memorial Garden,29.65089622504518,-82.34210954276563
Todd C. Prosser Memorial Garden,29.650707459353296,-82.34211087486571
Cathy Groh Donnellan Memorial,29.649981801997523,-82.3431745591898
Stadium Road,29.64858850053379,-82.34141804692348
Mirabella Apartments,29.645634096037888,-82.3735380661655
Facilities Services Motor Pool,29.642830287307998,-82.36785227646811
Surplus/Facilities Annex,29.643326741347558,-82.36715292541331
University of Florida Counseling & Wellness Center,29.642478686584663,-82.36931652487448
University of Florida Facilities Services Central Stores,29.64295840445628,-82.36925170611326
Service Vehicle Parking,29.64275011341292,-82.34314615010166
Long Leaf Road,29.631310920447294,-82.36747122733718
Wallace Building,29.638438924965822,-82.35909013383214
Elmore Hall,29.64346685565152,-82.36614932970585
Mehrhof Hall Parking,29.633786875512968,-82.36104172518225
Mehrhof Hall Parking,29.634013613683564,-82.36110056002379
Entomology & Nematology Parking,29.633986133028,-82.36660668668969
Food & Environmental Toxicology Lab,29.637149727382873,-82.35937148378189
University of Florida Bookstore Warehouse,29.643432851867946,-82.36804295128637
Facilities Services Grounds,29.64342954318203,-82.36882284747843
Facilities Services Grounds Administration,29.64350448984765,-82.36922279913291
University of Florida  Facilities Services Maintenance,29.644030307747787,-82.36923237198252
Grounds Storage Building,29.644159374930098,-82.36787343593552
Surplus Property Warehouse,29.643908492046382,-82.36808709643253
Facilities Services Garage North,29.644090663616705,-82.36832476680331
Facilities Services Garage South,29.643854250000004,-82.36832414999999
Microcell Parking,29.64025272494369,-82.36374085348955
Hogtown Prairie,29.644295936395178,-82.38886482489985
Museum Road,29.64483376447127,-82.34459954942385
O'Connell Center Pool Plant,29.648703703122713,-82.35078440593996
Country Village Apartments,29.632699882280924,-82.3627745870346
Southwest 16th Court,29.63342044991604,-82.34344549902686
Fletcher Drive,29.651939100008388,-82.3462903004535
UF Organic Garden Co-op,29.62883389178976,-82.35840989460529
Solar Engineering Lab,29.627085030426226,-82.36067043891177
Fuel Cell Garage,29.627444166127002,-82.36051466713263
Mechanical & Aerospace Student Design Center,29.62809546227444,-82.36147667662884
Solar Energy Test House,29.62897580575039,-82.3613247986982
Parking Garage 14,29.642334523967204,-82.35135116224536
Gator Walk,29.6517233,-82.3486177
Courtyard of Champions,29.6513300695748,-82.34862215863495
Gary Condron Field,29.65058122298796,-82.35261338672457
Sanders Football Practice Fields,29.650577783414324,-82.35311215687484
Stadium Lawn,29.651614527003176,-82.34834665855874
Heritage Hall,29.651102069804427,-82.34862035922191
East-West Road,29.65061937021301,-82.34697960170779
West Skybox Tower,29.649946303640114,-82.34964928199526
Lee Chira Family Heisman Plaza,29.650106065661255,-82.34999399742748
Heavener Football Complex,29.649030611313048,-82.34940938822824
Sunshine Seats,29.650760183108783,-82.34862269213104
Engineering Plaza,29.648163990807944,-82.3494077875691
Todd Prosser-Sandy Burnett Family Berm,29.636203548729192,-82.3629722564563
Ballpark Parking,29.63662786124071,-82.3647920837997
Citrus Road,29.635862183395965,-82.36615273847579
Natural Area Drive,29.63395276242067,-82.36717962079233
Dasburg House,29.648169443025036,-82.36085389281523
Billy Donovan Court,29.6494315,-82.35113165
Yardley Courtyard,29.650669367514727,-82.34570434860093
Bull Gator Deck,29.649907364603063,-82.34948211943808
Touchdown Terrace,29.650669507959496,-82.34863334830544
Gator Sportshop (North End Zone),29.65090221534259,-82.34791488915582
University Athletic Association,29.650919964751626,-82.34931752975707
South Ramp,29.64882177959252,-82.34863171940707
West Fraternity Drive Parking,29.6475389,-82.35987539999999
Marcia Whitney Schott Courtyard,29.649488447910016,-82.35928400345794
Racquet Club Dining Center,29.650125342184225,-82.34634810405282
Florida Pool Office/Lockers,29.65047062967884,-82.34740610243733
Florida Pool Compressor Building,29.65047404850676,-82.34714212071698
North End Zone Cooling Tower,29.650696419920074,-82.34764111143743
UF Information,29.64906674214216,-82.34556464847701
Computer Power Supply,29.649210541506307,-82.34553658578055
Enterprise Infrastructure & Operations Generator,29.649300002356032,-82.3455245249428
Wertheim Laboratory for Engineering Excellence,29.647118702862475,-82.34798039080607
Ballpark Way,29.636731571411417,-82.36205882949386
Donald R. Dizney Stadium,29.63665944286421,-82.36606980756517
Left Field Berm,29.637098336955116,-82.36394790713372
Ring of Honor,29.65087006701847,-82.34862346581801
James G. Pressly Stadium,29.649297528763494,-82.35463518981005
UAA Storage Building,29.650239010224233,-82.35522906731951
Gale Lemerand Drive,29.65148234143616,-82.34969541715873
Weimer Courtyard,29.64772384418924,-82.34708521380901
Smathers Walkway,29.6510213,-82.3420189
Smathers Walkway,29.65102253938711,-82.34257645001834
Smathers Walkway,29.6513447,-82.34248735
Information Booth,29.65007270000001,-82.34021225000002
Warrington College of Business,29.651133481465628,-82.34044255786326
Emerson Courtyard,29.651273818228745,-82.34092676144265
Heavener Hall Courtyard,29.65148800967811,-82.34000287606759
Warrington Courtyard,29.651052810379745,-82.34014253511788
Tigert Park,29.648866313889346,-82.33981127024285
Flavet Field Parking Lot,29.645812584903716,-82.35276028540189
Graham Hall Parking,29.645467965807384,-82.35362219564401
Flavet Field Parking,29.646866778338083,-82.355311499037
Woodlawn South Parking,29.64658362881518,-82.35556266028006
Woodlawn North Parking,29.647688086084344,-82.35531837306635
Bruton-Geer Hall,29.64923227307792,-82.35904227177546
East Law Parking,29.648915674609164,-82.35832351191094
Linder Stadium,29.64979938726512,-82.35707999637593
West Fraternity Drive Parking,29.64767266519402,-82.35893996276279
Rhines Hall Parking,29.647170920251448,-82.3492360248543
Mudfest Pit,29.647154148163917,-82.35102285551346
Center for Outdoor Recreation & Education (CORE),29.63916120323633,-82.36899867281967
Softball Complex Parking,29.64037766229225,-82.36898472763389
Southwest Recreation Center Softball Complex,29.639970323957254,-82.36763820174218
Rec Facilities Score Keeper,29.639971375713564,-82.36764283958584
Recreation Sports Maintenance,29.6408706935071,-82.36875110178673
J. Wayne Reitz Union,29.64633274215472,-82.34782719368339
Bookstore & Welcome Center Parking Garage,29.64539048119577,-82.34825262581829
Reitz Union Amphitheater,29.646081258041956,-82.3472797751504
Lacrosse Ticket Booth,29.637307000000003,-82.3668553
Administration/Maintenance Building,29.639974325148795,-82.36617505421064
FMNH Behavior Lab Annex,29.641976124859163,-82.36791051777509
FMNH Special Projects Lab,29.641853350243053,-82.3679461316409
FMNH Greenhouse,29.64177765,-82.36749870000001
FMNH Pole Barn,29.64179345,-82.3677423
Lab of Southeastern Archeology,29.64145872478222,-82.36776338366562
Lake Alice Field,29.644215217282586,-82.35628378487446
IFAS Greenhouse,29.635432325201272,-82.36402940489154
IFAS Fruit Crops Greenhouse,29.635426299424793,-82.3638985503067
Center for the Study of Emotion & Attention,29.63064255,-82.36774095000001
Sustainable Materials Management Research Lab East,29.630767892938703,-82.36723556115295
FLARE Lab,29.63109845193162,-82.36704752210468
Environmental Health & Safety Program Support Building,29.631104735406623,-82.36749582492553
Sustainable Materials Management Research Lab West,29.630783401164663,-82.3674611617527
UF Fear & Anxiety Disorders Clinic,29.63111263570261,-82.36733072484145
UF Waste Management Facility,29.631724755739175,-82.36814037174317
Nuclear Field Building,29.63184587235905,-82.36718558089039
environmental Health & Safety Storage,29.63172440622979,-82.36749033694221
Nuclear Waste Storage,29.631959936077504,-82.36752252524076
Radiation Control Storage,29.63177392891988,-82.36757328319861
UF Facilities Services Storage #1,29.632904545832247,-82.36741933046481
UF Facilities Services Storage #2,29.633011545832254,-82.3674229304648
Old Field,29.633893749307305,-82.36864087979744
Central Marsh,29.632201471077366,-82.36527944766583
Sinkhole Pond,29.63054788879725,-82.36654633697142
IFAS Crops & Soils Field Lab,29.633658974996056,-82.36171121893042
IFAS Research Laboratory #1,29.6331646163693,-82.36115096711578
IFAS Research Laboratory #2,29.633156704079703,-82.36091536137523
IFAS Field Support,29.63349255000492,-82.36101854927048
SW Chilled Water Plant,29.635593903455746,-82.36837840910748
UF Substation #10,29.63562532239995,-82.36811802286054
GE22,29.63366058480521,-82.36676417546508
GE11,29.633853869624975,-82.36675326146033
GE19,29.63386189123675,-82.367066628863
GE18,29.633861634293247,-82.36701337555071
GE16,29.633858965706757,-82.3669075244493
GE17,29.633859159849695,-82.36696077994945
GE12,29.63374498429104,-82.36691287553556
GE13,29.63374521570896,-82.36696612446443
GE14,29.633747715708964,-82.36701872446443
GE15,29.633747884291033,-82.36707197553557
GH3,29.633649540129607,-82.3669641251116
GH4,29.633648049999994,-82.36690515
GH2,29.63364995,-82.36702355
GH5,29.633584340129605,-82.36696672511157
GH7,29.633516459870396,-82.36691057488844
GH6,29.633581840129608,-82.36690712511158
Entomology Shop,29.633467800000002,-82.36673905
Urban Entomology Lab,29.63378412947084,-82.36622543983229
Entomology South Shadehouse,29.63363151125831,-82.36646366754732
Entomology North Shadehouse,29.633796587588044,-82.3664835427269
GE1,29.633745579127417,-82.36660819284083
GE2,29.633699420872585,-82.36660930715917
GE21,29.633632471483967,-82.3666113434522
GE20,29.63358022087258,-82.36661330715916
GE8,29.633874825175745,-82.36661116480535
GE9,29.6338269,-82.36661215000002
Honey Bee Lab,29.634598631809396,-82.3656669584005
Entomology & Nematology Parking,29.635306542174536,-82.36651926415081
McCarty Drive Parking,29.64632527733905,-82.34424036714422
Field & Fork Pantry,29.647082112658175,-82.34475214079292
Fiber Hut CSE,29.646999349999994,-82.34469804999999
Museum Road,29.644847332487387,-82.34752368699142
Rinker Plaza,29.64733492023472,-82.34308770601359
Charles R. Perry Construction Yard,29.647080084820843,-82.34295745872431
Norman Tunnel,29.646754249974997,-82.33929032439752
Norman Gym,29.646232249999997,-82.33799160000001
Norman Park,29.64667003665974,-82.33871799288526
Norman Field Lot Parking,29.645493078331267,-82.33808871329836
Hume West Parking,29.644290117526605,-82.35474357117815
Hume Support Building,29.644182199999996,-82.3533734
UF Substation #5,29.6446609,-82.355603
Beaty Tower B,29.644203881249922,-82.34024514784684
UF Substation #4,29.643684159575663,-82.34316173208008
Jennings Hall C,29.64374667109594,-82.34249578674955
Jennings Hall B,29.644021974490506,-82.34199323166838
Maguire Village Volleyball Court,29.6402876793716,-82.37124934100517
Golf Club Workshop,29.649957524704636,-82.37172582477682
Corry Village Parking,29.64633080962473,-82.36175456507918
Corry Village Basketball Court,29.645352288415868,-82.36154022005431
Corry Village Volleball Court,29.645362100000003,-82.36134905
Golfview,29.648017297380573,-82.36300081119843
Field & Fork Storage,29.644537424594617,-82.36275305469155
Bat House,29.644306349999997,-82.36304305
Fifield Field Parking Lot,29.639970235294694,-82.36142634002826
Turfgrass Envirotron,29.63963150090163,-82.36045116822106
IFAS Mechanical Equipment Building,29.638453900000002,-82.36027565
GHT1,29.63937352500403,-82.36033898164973
GHT3,29.6394082,-82.3605991
GHT2,29.6394085,-82.36053419999999
GHT4,29.639333999999998,-82.3605341
GHT5,29.639333699999998,-82.360599
Plant Pathology Diagnostics Lab,29.63907055,-82.36074414999999
Plant Science Facility,29.63947740690501,-82.35960193993064
Pathology Greenhouse,29.639132331793437,-82.3594725750449
Bio-Containment Facility,29.639501338592627,-82.35996006049727
Polyhouse 5,29.64060202136983,-82.3586239738945
Shadehouse,29.640605196665224,-82.35845042412299
Shadehouse,29.64060599697101,-82.35827957412376
Polyhouse 10,29.640380271404336,-82.35862127479851
Polyhouse 9,29.640380196665227,-82.358449524123
Shadehouse,29.640380196971005,-82.35827687412375
Shadehouse,29.64037939697101,-82.35810247412377
AT&T Fiber Hut,29.640361624989865,-82.3579285937755
GH13,29.640429000000005,-82.35995030000001
UF Transportation & Parking Services (TAPS),29.640387274358687,-82.35020587105494
Pesticide Information Office,29.63866978996046,-82.35606379627463
